:Data_list: ./hp_from_aepower_from_ae_20021221_to_20021221.txt
:Created: Fri Apr 10 15:50:50 UTC 2026
# This file is created to replicate NOAA HPI files created before 2013.
# Please use with caution as Sat number, hemisphere, activity level, and normalizing factors are placeholders.
#
# Source: AE or SME index.
# Units: gigawatts

# Format:

# Each line is formatted as in this example:

# 2006-09-05 00:54:25 NOAA-16 (S)  7  29.67   0.82

# A19   Date and UT at the center of the polar pass as YYYY-MM-DD hh:mm:ss
# 1X    (Space)
# A7    NOAA POES Satellite number
# 1X    (Space)
# A3    (S) or (N) - hemisphere
# I3    Hemispheric Power Index (activity level)
# F7.2  Estimated Hemispheric Power in gigawatts
# F7.2  Normalizing factor

2002-12-21 04:40:00 NOAA-17 (N)  6  80.56   0.75
2002-12-21 04:41:00 NOAA-17 (N)  6  80.25   0.75
2002-12-21 04:42:00 NOAA-17 (N)  6  79.84   0.75
2002-12-21 04:43:00 NOAA-17 (N)  6  81.37   0.75
2002-12-21 04:44:00 NOAA-17 (N)  6  85.05   0.75
2002-12-21 04:45:00 NOAA-17 (N)  6  87.39   0.75
2002-12-21 04:46:00 NOAA-17 (N)  6  87.08   0.75
2002-12-21 04:47:00 NOAA-17 (N)  6  86.47   0.75
2002-12-21 04:48:00 NOAA-17 (N)  6  81.17   0.75
2002-12-21 04:49:00 NOAA-17 (N)  6  80.45   0.75
2002-12-21 04:50:00 NOAA-17 (N)  6  80.86   0.75
2002-12-21 04:51:00 NOAA-17 (N)  6  82.09   0.75
2002-12-21 04:52:00 NOAA-17 (N)  6  72.91   0.75
2002-12-21 04:53:00 NOAA-17 (N)  6  62.81   0.75
2002-12-21 04:54:00 NOAA-17 (N)  6  59.34   0.75
2002-12-21 04:55:00 NOAA-17 (N)  6  65.56   0.75
2002-12-21 04:56:00 NOAA-17 (N)  6  72.80   0.75
2002-12-21 04:57:00 NOAA-17 (N)  6  64.03   0.75
2002-12-21 04:58:00 NOAA-17 (N)  6  63.62   0.75
2002-12-21 04:59:00 NOAA-17 (N)  6  66.28   0.75
2002-12-21 05:00:00 NOAA-17 (N)  6  67.91   0.75
2002-12-21 05:01:00 NOAA-17 (N)  6  65.16   0.75
2002-12-21 05:02:00 NOAA-17 (N)  6  64.54   0.75
2002-12-21 05:03:00 NOAA-17 (N)  6  68.93   0.75
2002-12-21 05:04:00 NOAA-17 (N)  6  68.11   0.75
2002-12-21 05:05:00 NOAA-17 (N)  6  56.08   0.75
2002-12-21 05:06:00 NOAA-17 (N)  6  48.94   0.75
2002-12-21 05:07:00 NOAA-17 (N)  6  51.69   0.75
2002-12-21 05:08:00 NOAA-17 (N)  6  56.99   0.75
2002-12-21 05:09:00 NOAA-17 (N)  6  59.14   0.75
2002-12-21 05:10:00 NOAA-17 (N)  6  55.06   0.75
2002-12-21 05:11:00 NOAA-17 (N)  6  51.18   0.75
2002-12-21 05:12:00 NOAA-17 (N)  6  52.10   0.75
2002-12-21 05:13:00 NOAA-17 (N)  6  54.34   0.75
2002-12-21 05:14:00 NOAA-17 (N)  6  50.67   0.75
2002-12-21 05:15:00 NOAA-17 (N)  6  44.24   0.75
2002-12-21 05:16:00 NOAA-17 (N)  6  41.80   0.75
2002-12-21 05:17:00 NOAA-17 (N)  6  40.16   0.75
2002-12-21 05:18:00 NOAA-17 (N)  6  39.96   0.75
2002-12-21 05:19:00 NOAA-17 (N)  6  41.39   0.75
2002-12-21 05:20:00 NOAA-17 (N)  6  45.47   0.75
2002-12-21 05:21:00 NOAA-17 (N)  6  48.33   0.75
2002-12-21 05:22:00 NOAA-17 (N)  6  44.65   0.75
2002-12-21 05:23:00 NOAA-17 (N)  6  37.31   0.75
2002-12-21 05:24:00 NOAA-17 (N)  6  31.29   0.75
2002-12-21 05:25:00 NOAA-17 (N)  6  31.70   0.75
2002-12-21 05:26:00 NOAA-17 (N)  6  33.13   0.75
2002-12-21 05:27:00 NOAA-17 (N)  6  34.96   0.75
2002-12-21 05:28:00 NOAA-17 (N)  6  37.31   0.75
2002-12-21 05:29:00 NOAA-17 (N)  6  39.45   0.75
2002-12-21 05:30:00 NOAA-17 (N)  6  42.10   0.75
2002-12-21 05:31:00 NOAA-17 (N)  6  43.33   0.75
2002-12-21 05:32:00 NOAA-17 (N)  6  39.25   0.75
2002-12-21 05:33:00 NOAA-17 (N)  6  34.45   0.75
2002-12-21 05:34:00 NOAA-17 (N)  6  31.39   0.75
2002-12-21 05:35:00 NOAA-17 (N)  6  32.52   0.75
2002-12-21 05:36:00 NOAA-17 (N)  6  34.05   0.75
2002-12-21 05:37:00 NOAA-17 (N)  6  38.23   0.75
2002-12-21 05:38:00 NOAA-17 (N)  6  39.55   0.75
2002-12-21 05:39:00 NOAA-17 (N)  6  39.55   0.75
2002-12-21 05:40:00 NOAA-17 (N)  6  36.90   0.75
2002-12-21 05:41:00 NOAA-17 (N)  6  36.39   0.75
2002-12-21 05:42:00 NOAA-17 (N)  6  34.66   0.75
2002-12-21 05:43:00 NOAA-17 (N)  6  34.45   0.75
2002-12-21 05:44:00 NOAA-17 (N)  6  33.53   0.75
2002-12-21 05:45:00 NOAA-17 (N)  6  31.49   0.75
2002-12-21 05:46:00 NOAA-17 (N)  6  30.17   0.75
2002-12-21 05:47:00 NOAA-17 (N)  6  28.84   0.75
2002-12-21 05:48:00 NOAA-17 (N)  6  27.41   0.75
2002-12-21 05:49:00 NOAA-17 (N)  6  26.29   0.75
2002-12-21 05:50:00 NOAA-17 (N)  6  25.99   0.75
2002-12-21 05:51:00 NOAA-17 (N)  6  24.25   0.75
2002-12-21 05:52:00 NOAA-17 (N)  6  22.21   0.75
2002-12-21 05:53:00 NOAA-17 (N)  6  20.78   0.75
2002-12-21 05:54:00 NOAA-17 (N)  6  21.91   0.75
2002-12-21 05:55:00 NOAA-17 (N)  6  22.82   0.75
2002-12-21 05:56:00 NOAA-17 (N)  6  22.01   0.75
2002-12-21 05:57:00 NOAA-17 (N)  6  19.66   0.75
2002-12-21 05:58:00 NOAA-17 (N)  6  20.48   0.75
